Track name, Artist name, Album, Playlist name, Type, ISRC
Mood (feat. Iann Dior),24kGoldn,Mood (feat. Iann Dior),Playlist 4,Playlist track,USQX92003025
Lemonade,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",Playlist 4,Playlist track,QZJ842000368
Take It From Me,KONGOS,Egomaniac,Playlist 4,Playlist track,USSM11600937
Angel,Theory of a Deadman,Savages,Playlist 4,Playlist track,NLA321400207
Words As Weapons,Seether,Isolate And Medicate,Playlist 4,Playlist track,QMFMK1400003
With Me,Sum 41,Underclass Hero,Playlist 4,Playlist track,USUM70740344
GREECE (feat. Drake),DJ Khaled,GREECE (feat. Drake),Playlist 4,Playlist track,USSM12004502
Beg,Seether,Beg,Playlist 4,Playlist track,USC4R2007523
Dangerous,Seether,Dangerous,Playlist 4,Playlist track,USC4R2007517
The Shift,10 Years,The Shift,Playlist 4,Playlist track,NLB932001701
Rabbit,Big Story,Rabbit,Playlist 4,Playlist track,TCAER2024622
Not for Nothing,Killakoi,Not for Nothing,Playlist 4,Playlist track,TCAEP1911751
Mountain View,Lakeshore,Mountain View,Playlist 4,Playlist track,TCAER2010288
Lost and Reckless,Sakoya,Lost and Reckless,Playlist 4,Playlist track,QZK6Q1953277
You'll Hate Me,Wake Me,You'll Hate Me,Playlist 4,Playlist track,uscgh2096592
Gravity,Everrest,Gravity,Playlist 4,Playlist track,QZFYY2030359
Not Okay,Paul Bartolome,Screaming Through The Radio,Playlist 4,Playlist track,USA2P2000891
Fake It,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),Playlist 4,Playlist track,USWU30700132
Remedy,Seether,Karma and Effect,Playlist 4,Playlist track,USWU30500016
Careless Whisper,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),Playlist 4,Playlist track,USWU30900001
Bruised And Bloodied,Seether,Bruised And Bloodied,Playlist 4,Playlist track,USC4R2007515
Nobody Praying For Me,Seether,Isolate And Medicate,Playlist 4,Playlist track,QMFMK1400008
Fine Again,Seether,Disclaimer,Playlist 4,Playlist track,USWU30200015
Ashes,Stellar,Ashes,Playlist 4,Playlist track,QZDA52012875
Wolves (feat. Post Malone),Big Sean,Detroit 2,Playlist 4,Playlist track,USUM72016329
I Don't Fuck With You,Big Sean,Dark Sky Paradise,Playlist 4,Playlist track,USUM71414033
Deep Reverence (feat. Nipsey Hussle),Big Sean,Detroit 2,Playlist 4,Playlist track,USUM72016327
Lithuania (feat. Travis Scott),Big Sean,Detroit 2,Playlist 4,Playlist track,USUM72016350
"Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem)",Big Sean,Detroit 2,Playlist 4,Playlist track,USUM72016354
Why Would I Stop?,Big Sean,Detroit 2,Playlist 4,Playlist track,USUM72016323
Don Life (feat. Lil Wayne),Big Sean,Detroit 2,Playlist 4,Playlist track,USUM72016352
24 (feat. Lil Baby),Money Man,Epidemic (Deluxe),Playlist 4,Playlist track,USUYG1327132
Loose (feat. KSI),S1mba,Loose (feat. KSI),Playlist 4,Playlist track,GBAYE2000842
Dolly (with Lil Uzi Vert),Lil Tecca,Virgo World,Playlist 4,Playlist track,USUM72018026
When You Down (with Polo G feat. Lil Durk),Lil Tecca,Virgo World,Playlist 4,Playlist track,USUM72018014
Without Me,Fame on Fire,Without Me,Playlist 4,Playlist track,TCAEC1930655
Like a G*d,Surf,Like a G*d,Morning,Playlist track,US28B2002501
Slave To Perfection,One After None,Slave To Perfection,Morning,Playlist track,US23A1500235
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,Morning,Playlist track,USSM11704799
World Fall Down,Just Juice,World Fall Down,Morning,Playlist track,SE5VF1906677
Breeze,Take/Five,Found Footage,Morning,Playlist track,QM4DW1760410
Fiji (Bonus Track),Lil Loski,Life Without Heartbreak,Morning,Playlist track,TCAEB1966694
Paranoid,Post Malone,beerbongs & bentleys,Morning,Playlist track,USUM71710835
Hollywood's Bleeding,Post Malone,Hollywood's Bleeding,Morning,Playlist track,USUM71915730
Stepping Stone,Eminem,Kamikaze,Morning,Playlist track,USUM71813352
Cardigan,Don Toliver,Heaven Or Hell,Morning,Playlist track,USAT22000786
Looking 4 Existence,Yung Pinch,Looking 4 Existence,Morning,Playlist track,USLD91725761
Astronomia,Vicetone,Astronomia,Morning,Playlist track,DK4YA1609401
Overdrive,Far Out,Bridges in Time,Morning,Playlist track,GBKPL2087326
On avait dit,47ter,L’adresse,Morning,Playlist track,BE8HR1900017
No Manners,1UP,No Manners,Morning,Playlist track,QZHN31924742
Je ne dirai rien (feat. The Shin Sekaï & Doomams),Black M,Les yeux plus gros que le monde,Morning,Playlist track,FR7U61200402
Something More,Smirk,Something More,Morning,Playlist track,QZHNC1901925
The Mountain,Three Days Grace,The Mountain,Morning,Playlist track,USRC11703664
PTSD,G Herbo,PTSD,Morning,Playlist track,QZ57A2005612
Better Now,Post Malone,beerbongs & bentleys,Morning,Playlist track,USUM71805170
Paranoid,Post Malone,beerbongs & bentleys,Morning,Playlist track,USUM71710835
Will,Joyner Lucas,Will,Morning,Playlist track,QM4TX2075630
Africa,Weezer,Africa,Morning,Playlist track,USAT21802455
Warm Up,NF,Warm Up,Morning,Playlist track,USUM71609019
Blank,Disfigure,Blank,Morning,Playlist track,GB2LD0901580
Let You Down,NF,Perception,Morning,Playlist track,USUM71708226
Africa,TOTO,Toto IV,Morning,Playlist track,USSM19801941
